Wilayah,Anies Baswedan
Daerah Khusus Ibukota Jakarta,100
Aceh,85
Daerah Istimewa Yogyakarta,74
Banten,66
Sulawesi Tenggara,65
Sumatera Barat,65
Sulawesi Barat,62
Jawa Barat,61
Riau,60
Kepulauan Riau,59
Sulawesi Selatan,58
Sumatera Utara,56
Jawa Tengah,53
Nusa Tenggara Barat,52
Jambi,51
Jawa Timur,51
Maluku Utara,51
Kalimantan Barat,48
Kalimantan Selatan,48
Sulawesi Tengah,47
Bengkulu,47
Kepulauan Bangka Belitung,45
Gorontalo,44
Sulawesi Utara,44
Kalimantan Utara,43
Kalimantan Timur,41
Lampung,41
Sumatera Selatan,39
Kalimantan Tengah,39
Nusa Tenggara Timur,37
Papua,36
Papua Barat,32
Bali,31
Maluku,31
