TOP,rank
Ganjar Pranowo,100
Prabowo Subianto,79
Partai politik,75
2024,58
Muhaimin Iskandar,56
Presidential nominee,50
Joko Widodo,48
Partai NasDem,45
Agus Harimurti Yudhoyono,38
Partai Demokrat,35
Partai Demokrat,34
Partai Keadilan Sejahtera,29
Presiden,28
Gubernur,25
Presiden Indonesia,20
Partai Demokrasi Indonesia Perjuangan,19
Pemilihan presiden,19
PDI Perjuangan,19
Sandiaga Salahuddin Uno,17
Surya Paloh,16
Koalisi,16
Gubernur,15
Metodologi survei,14
Susilo Bambang Yudhoyono,14
Partai Kebangkitan Bangsa,10

RISING
Koalisi Perubahan,Pesat
Yohanes,Pesat
Baptis,+2.650%
Muhaimin Iskandar,+2.200%
Salman dari Arab Saudi,+1.550%
Ahmad Heryawan,+1.500%
Ciliwung,+1.050%
Sudirman Said,+950%
Google Trends,+650%
Partai Ummat,+650%
Yenny Wahid,+600%
Mobil listrik,+350%
Partai Kebangkitan Bangsa,+350%
Wakil presiden,+350%
PKB,+350%
Wakil Presiden Republik Indonesia,+350%
Kaesang Pangarep,+350%
Khofifah Indar Parawansa,+350%
Gibran Rakabuming Raka,+300%
Tanggal lahir,+250%
G20,+250%
Mahfud MD,+250%
Prabowo Subianto,+180%
Partai Demokrat,+180%
Partai Demokrat,+170%

