TOP,rank
anies,100
baswedan,62
anies baswedan,56
ganjar anies,8
ganjar,7
prabowo,6
prabowo anies,6
cawapres,6
cawapres anies,5
anis,5
partai anies,5
anis baswedan,4
ganjar pranowo,4
jokowi,4
nasdem,3
anies baswedan ganjar pranowo,3
anies nasdem,3
capres,3
nasdem anies,3
anies capres,3
anies presiden,3
partai anies baswedan,3
ahy,3
anies ahy,3
cak imin,3

RISING
anies dan cak imin,Pesat
yohanes anies baswedan,Pesat
siapa cawapres anies,Pesat
nama cawapres anies baswedan,Pesat
yenny wahid cawapres anies baswedan,Pesat
anies cak imin pks,Pesat
ketua tim pemenangan anies baswedan,Pesat
demokrat dukung anies baswedan,Pesat
pasangan anies baswedan pilpres 2024,Pesat
pkb dukung anies,Pesat
polling anies baswedan terbaru,Pesat
denny indrayana anies baswedan,Pesat
purnawirawan tni polri dukung anies,Pesat
koalisi perubahan,+4.700%
anies cak imin,+2.850%
cak imin,+2.700%
cawapres ganjar,+2.250%
cawapres anies,+2.100%
cawapres anies baswedan,+2.050%
cawapres prabowo,+1.700%
cak imin cawapres anies,+1.650%
anies baswedan cak imin,+1.500%
cawapres,+1.400%
tanggal lahir prabowo,+1.250%
anies muhaimin,+1.100%

