Kategori: Semua kategori

Wilayah,Ganjar Pranowo: (12/10/22 - 12/10/23)
Daerah Istimewa Yogyakarta,100
Jawa Tengah,99
Daerah Khusus Ibukota Jakarta,99
Sulawesi Utara,87
Nusa Tenggara Timur,73
Sumatera Utara,68
Banten,67
Jawa Timur,65
Kepulauan Riau,63
Sulawesi Barat,58
Jawa Barat,58
Kalimantan Barat,55
Bengkulu,55
Papua,54
Kalimantan Utara,54
Riau,52
Jambi,51
Maluku Utara,51
Kalimantan Timur,50
Papua Barat,50
Sulawesi Tenggara,50
Bali,50
Sumatera Barat,50
Aceh,49
Kalimantan Tengah,49
Lampung,48
Sulawesi Selatan,48
Nusa Tenggara Barat,47
Gorontalo,46
Kalimantan Selatan,46
Sumatera Selatan,45
Kepulauan Bangka Belitung,45
Sulawesi Tengah,44
Maluku,42
