TOP,rank
Prabowo Subianto,100
Anies Baswedan,83
2024,66
Presidential nominee,64
PDI Perjuangan,55
Joko Widodo,55
Partai Demokrasi Indonesia Perjuangan,55
Partai politik,41
Presiden,28
Pemilihan presiden,19
Jawa Tengah,19
Israel,18
Presiden Indonesia,17
Prestasi,16
Megawati Soekarnoputri,16
Gubernur,15
Basuki Tjahaja Purnama,15
Ridwan Kamil,15
Pemilihan umum Presiden Indonesia 2024,15
Puan Maharani,13
Gubernur,13
Pasangan,13
Piala Dunia U-20 FIFA,10
Wakil presiden,8

RISING
Piala Dunia U-20 FIFA,Pesat
"Prof. Dr. KH Nasaruddin Umar, MA",Pesat
Piala Dunia U-20 FIFA 2023,+5.000%
Bangsa Israel,+3.850%
Israel,+2.600%
Wayan Koster,+1.700%
Partai Perindo,+550%
Badan Amil Zakat,+500%
Tuan rumah,+500%
Wakil presiden,+500%
Partai Persatuan Indonesia,+400%
Wakil Presiden Republik Indonesia,+400%
Koalisi Indonesia Bersatu,+350%
Badan Amil Zakat Nasional,+300%
Mahfud MD,+250%
Najwa Shihab,+200%
Prabowo Subianto,+190%
Prestasi,+180%
Kaesang Pangarep,+160%
Pasangan,+130%
Pemilihan presiden,+50%

