TOP,rank
ganjar,100
pranowo,52
ganjar pranowo,48
prabowo,10
prabowo ganjar,9
anies,8
ganjar anies,7
cawapres,6
cawapres ganjar,5
pak ganjar,5
jokowi,5
capres,5
ganjar capres,5
jokowi ganjar,5
pdip,5
ganjar pdip,5
anies baswedan,4
ganjar presiden,4
partai ganjar,4
anies baswedan ganjar pranowo,3
wakil ganjar,2
ganjar pranowo capres,2
anak ganjar,2
prestasi ganjar,2
ganjar pranowo pdip,2

RISING
siapa cawapres ganjar,Pesat
ganjar menolak israel,Pesat
ahok cawapres ganjar,Pesat
ridwan kamil cawapres ganjar pranowo,Pesat
ganjar miyabi,Pesat
gubernur bali,Pesat
calon wapres ganjar,Pesat
hokky caraka ganjar,Pesat
arsjad rasjid,Pesat
wakil ganjar pranowo pilpres 2024,Pesat
koalisi perubahan,Pesat
ganjar 88 slot,Pesat
ganjar sudaya,Pesat
prestasi ganjar di jateng,Pesat
elektabilitas ganjar turun,Pesat
tanggal lahir prabowo dan ganjar,Pesat
fifa,+3.100%
ganjar israel,+2.850%
ganjar piala dunia,+2.450%
cawapres ganjar,+2.450%
cawapres anies,+2.350%
israel,+2.150%
ganjar 88,+2.000%
cawapres ganjar pranowo,+1.600%
tanggal lahir prabowo,+1.600%

