Kategori: Semua kategori

Wilayah,Prabowo Subianto: (12/10/22 - 12/10/23)
Daerah Khusus Ibukota Jakarta,100
Sulawesi Utara,98
Daerah Istimewa Yogyakarta,88
Papua Barat,77
Sulawesi Tenggara,76
Jawa Timur,74
Kepulauan Riau,73
Jambi,71
Banten,71
Sulawesi Barat,71
Bengkulu,70
Jawa Tengah,70
Jawa Barat,69
Kalimantan Utara,67
Aceh,67
Maluku Utara,67
Nusa Tenggara Timur,66
Sulawesi Selatan,65
Sumatera Selatan,65
Kepulauan Bangka Belitung,65
Sumatera Utara,65
Sumatera Barat,65
Gorontalo,64
Sulawesi Tengah,63
Papua,63
Riau,62
Kalimantan Barat,61
Lampung,61
Kalimantan Tengah,60
Nusa Tenggara Barat,58
Kalimantan Timur,58
Bali,57
Kalimantan Selatan,56
Maluku,46
