Minggu,Prabowo Subianto: (Indonesia)
2022-10-16,11
2022-10-23,10
2022-10-30,12
2022-11-06,14
2022-11-13,14
2022-11-20,10
2022-11-27,13
2022-12-04,11
2022-12-11,10
2022-12-18,9
2022-12-25,10
2023-01-01,10
2023-01-08,10
2023-01-15,9
2023-01-22,11
2023-01-29,12
2023-02-05,13
2023-02-12,19
2023-02-19,14
2023-02-26,10
2023-03-05,15
2023-03-12,14
2023-03-19,15
2023-03-26,18
2023-04-02,16
2023-04-09,15
2023-04-16,23
2023-04-23,44
2023-04-30,36
2023-05-07,26
2023-05-14,36
2023-05-21,37
2023-05-28,26
2023-06-04,31
2023-06-11,26
2023-06-18,23
2023-06-25,26
2023-07-02,27
2023-07-09,44
2023-07-16,36
2023-07-23,28
2023-07-30,32
2023-08-06,29
2023-08-13,63
2023-08-20,39
2023-08-27,51
2023-09-03,54
2023-09-10,53
2023-09-17,100
2023-09-24,61
2023-10-01,52
2023-10-08,58
