Kategori: Semua kategori
"Prabowo Subianto: (12/10/22 - 12/10/23, Indonesia)"

TOP
Ganjar Pranowo,100
2024,67
Joko Widodo,64
Anies Baswedan,64
Partai politik,48
Presidential nominee,48
Presiden,24
Presiden Indonesia,21
Pemilihan presiden,21
Gerindra,21
Partai Gerakan Indonesia Raya,20
PDI Perjuangan,17
Partai Demokrasi Indonesia Perjuangan,17
Susilo Bambang Yudhoyono,16
Koalisi,16
Muhaimin Iskandar,16
Partai Demokrat,15
Partai Demokrat,15
Megawati Soekarnoputri,14
Pemilihan umum Presiden Indonesia 2024,14
Partai Golongan Karya,14
Partai Golongan Karya,14
Sandiaga Salahuddin Uno,12
Tentara Nasional Indonesia,12
Mahfud MD,12

RISING
Budiman Sudjatmiko,Pesat
Food Estate,Pesat
Yenny Wahid,+900%
Partai Gelombang Rakyat Indonesia,+650%
Partai Golongan Karya,+400%
Partai Golongan Karya,+400%
Kaesang Pangarep,+350%
Koalisi,+300%
Tanggal lahir,+300%
Yusril Ihza Mahendra,+300%
Mahfud MD,+250%
Partai Demokrat,+250%
Partai Amanat Nasional,+200%
Partai Demokrat,+200%
Ganjar Pranowo,+200%
Gibran Rakabuming Raka,+180%
Isu,+180%
Partai Persatuan Pembangunan,+160%
Partai Perindo,+150%
Partai politik,+150%
Wakil Presiden Republik Indonesia,+150%
Partai Persatuan Pembangunan,+140%
Kader,+130%
Anies Baswedan,+70%
PDI Perjuangan,+50%

